DDInter_ID_A,Drug_A,DrugBank_ID_A,DDInter_ID_B,Drug_B,DrugBank_ID_B,severity,query_direction,query_drug,query_drugbank_id,query_node,target_drug,target_drugbank_id,target_node,raw_target_score,rank,number_filtered,available_candidates_after_filtering,target_tie_count,tied_competitor_count,unique_available_scores
DDInter1046,Levetiracetam,DB01202,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Levetiracetam,DB01202,7060,-2.3414714336395264,2482,1076,3202,1,0,3202
DDInter1064,Levothyroxine,DB00451,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Levothyroxine,DB00451,2843,1.6833049058914185,302,1076,3202,1,0,3202
DDInter1079,Lisinopril,DB00722,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Lisinopril,DB00722,5473,-1.7546052932739258,2362,1076,3202,1,0,3202
DDInter1091,Loratadine,DB00455,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Loratadine,DB00455,3733,1.0204408168792725,483,1076,3202,1,0,3202
DDInter1098,Lovastatin,DB00227,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Lovastatin,DB00227,2918,4.431389331817627,24,1076,3202,1,0,3202
DDInter1236,Modafinil,DB00745,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Modafinil,DB00745,3751,2.5534861087799072,180,1076,3202,1,0,3202
DDInter1244,Morphine,DB00295,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Morphine,DB00295,2933,1.8787529468536377,264,1076,3202,1,0,3202
DDInter1276,Nelfinavir,DB00220,DDInter749,Flunisolide,DB00180,Moderate,B_to_A,Flunisolide,DB00180,2797,Nelfinavir,DB00220,2917,2.4669387340545654,192,1076,3202,1,0,3202
DDInter1286,Niacin,DB00627,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Niacin,DB00627,3289,1.2633001804351807,399,1076,3202,1,0,3202
DDInter1290,Nicotine,DB00184,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Nicotine,DB00184,3663,1.916536808013916,260,1076,3202,1,0,3202
DDInter1291,Nifedipine,DB01115,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Nifedipine,DB01115,3084,4.639799118041992,17,1076,3202,1,0,3202
DDInter130,Atenolol,DB00335,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Atenolol,DB00335,2945,0.9336738586425781,510,1076,3202,1,0,3202
DDInter1304,Nitroglycerin,DB00727,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Nitroglycerin,DB00727,3418,0.02247585356235504,877,1076,3202,1,0,3202
DDInter133,Atorvastatin,DB01076,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Atorvastatin,DB01076,3080,2.7086169719696045,161,1076,3202,1,0,3202
DDInter1335,Omacetaxine mepesuccinate,DB04865,DDInter749,Flunisolide,DB00180,Moderate,B_to_A,Flunisolide,DB00180,2797,Omacetaxine mepesuccinate,DB04865,8669,0.2649475634098053,747,1076,3202,1,0,3202
DDInter1340,Omeprazole,DB00338,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Omeprazole,DB00338,3568,3.641406774520874,79,1076,3202,1,0,3202
DDInter14,Acetaminophen,DB00316,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Acetaminophen,DB00316,2937,2.7308409214019775,159,1076,3202,1,0,3202
