DDInter_ID,DDInter_name,DrugBank_ID,PrimeKG_name,PrimeKG_node,mapping_method,mapping_confidence_category
DDInter1,Abacavir,DB01048,Abacavir,4636,exact normalized-name fallback,exact-name match
DDInter10,Acamprosate,,,,none,unmapped
DDInter100,Anthrax vaccine,DB11003,Anthrax vaccine,9673,exact normalized-name fallback,exact-name match
DDInter1000,Ivosidenib,DB14568,Ivosidenib,4522,exact normalized-name fallback,exact-name match
DDInter1001,Ixabepilone,DB04845,Ixabepilone,4322,exact normalized-name fallback,exact-name match
DDInter1002,Ixazomib,DB09570,Ixazomib,4023,exact normalized-name fallback,exact-name match
DDInter1003,Ixekizumab,DB11569,Ixekizumab,8944,exact normalized-name fallback,exact-name match
DDInter1004,Kanamycin,DB01172,Kanamycin,9190,exact normalized-name fallback,exact-name match
DDInter1005,Kaolin,DB01575,Kaolin,9747,exact normalized-name fallback,exact-name match
DDInter1006,Kava,,,,none,unmapped
DDInter1007,Ketamine,DB01221,Ketamine,3393,exact normalized-name fallback,exact-name match
DDInter1008,Ketoconazole,DB01026,Ketoconazole,3064,exact normalized-name fallback,exact-name match
DDInter1009,Ketoprofen,DB01009,Ketoprofen,3061,exact normalized-name fallback,exact-name match
DDInter101,Anti-inhibitor coagulant complex,DB13151,Anti-inhibitor coagulant complex,3376,exact normalized-name fallback,exact-name match
DDInter1010,Ketorolac,DB00465,Ketorolac,4557,exact normalized-name fallback,exact-name match
DDInter1011,Ketorolac (ophthalmic),,,,none,unmapped
DDInter1012,Ketotifen,DB00920,Ketotifen,6019,exact normalized-name fallback,exact-name match
DDInter1013,Labetalol,DB00598,Labetalol,2985,exact normalized-name fallback,exact-name match
DDInter1014,Lacosamide,DB06218,Lacosamide,4342,exact normalized-name fallback,exact-name match
DDInter1015,Lactic acid,,,,none,unmapped
DDInter1016,Lactitol,DB12942,Lactitol,9406,exact normalized-name fallback,exact-name match
DDInter1017,Lactobacillus acidophilus,,,,none,unmapped
DDInter1018,Lactulose,DB00581,Lactulose,9255,exact normalized-name fallback,exact-name match
DDInter1019,Lamivudine,DB00709,Lamivudine,3001,exact normalized-name fallback,exact-name match
DDInter102,"Antihemophilic factor, human recombinant",DB00025,"Antihemophilic factor, human recombinant",3402,exact normalized-name fallback,exact-name match
DDInter1020,Lamotrigine,DB00555,Lamotrigine,2975,exact normalized-name fallback,exact-name match
DDInter1021,Lanreotide,DB06791,Lanreotide,4367,exact normalized-name fallback,exact-name match
DDInter1022,Lansoprazole,DB00448,Lansoprazole,3569,exact normalized-name fallback,exact-name match
DDInter1023,Lanthanum carbonate,DB06792,Lanthanum carbonate,9295,exact normalized-name fallback,exact-name match
DDInter1024,Lapatinib,DB01259,Lapatinib,3783,exact normalized-name fallback,exact-name match
DDInter1025,Laronidase,,,,none,unmapped
DDInter1026,Larotrectinib,DB14723,Larotrectinib,4528,exact normalized-name fallback,exact-name match
DDInter1027,Lasmiditan,DB11732,Lasmiditan,4027,exact normalized-name fallback,exact-name match
DDInter1028,Latanoprost,DB00654,Latanoprost,6218,exact normalized-name fallback,exact-name match
