DDInter_ID,DDInter_name,normalized_DDInter_name,PrimeKG_name,normalized_PrimeKG_name,DrugBank_ID,equal_after_normalization,route_or_formulation_qualifier_detected,lexical_attention_reason,suspicious_lexical_case,review_status
DDInter1,Abacavir,abacavir,Abacavir,abacavir,DB01048,true,false,,false,accepted_exact_normalized_name
DDInter100,Anthrax vaccine,anthrax vaccine,Anthrax vaccine,anthrax vaccine,DB11003,true,false,,false,accepted_exact_normalized_name
DDInter1000,Ivosidenib,ivosidenib,Ivosidenib,ivosidenib,DB14568,true,false,,false,accepted_exact_normalized_name
DDInter1001,Ixabepilone,ixabepilone,Ixabepilone,ixabepilone,DB04845,true,false,,false,accepted_exact_normalized_name
DDInter1002,Ixazomib,ixazomib,Ixazomib,ixazomib,DB09570,true,false,,false,accepted_exact_normalized_name
DDInter1003,Ixekizumab,ixekizumab,Ixekizumab,ixekizumab,DB11569,true,false,,false,accepted_exact_normalized_name
DDInter1004,Kanamycin,kanamycin,Kanamycin,kanamycin,DB01172,true,false,,false,accepted_exact_normalized_name
DDInter1005,Kaolin,kaolin,Kaolin,kaolin,DB01575,true,false,,false,accepted_exact_normalized_name
DDInter1007,Ketamine,ketamine,Ketamine,ketamine,DB01221,true,false,,false,accepted_exact_normalized_name
DDInter1008,Ketoconazole,ketoconazole,Ketoconazole,ketoconazole,DB01026,true,false,,false,accepted_exact_normalized_name
DDInter1009,Ketoprofen,ketoprofen,Ketoprofen,ketoprofen,DB01009,true,false,,false,accepted_exact_normalized_name
DDInter101,Anti-inhibitor coagulant complex,anti-inhibitor coagulant complex,Anti-inhibitor coagulant complex,anti-inhibitor coagulant complex,DB13151,true,false,,false,accepted_exact_normalized_name
DDInter1010,Ketorolac,ketorolac,Ketorolac,ketorolac,DB00465,true,false,,false,accepted_exact_normalized_name
DDInter1012,Ketotifen,ketotifen,Ketotifen,ketotifen,DB00920,true,false,,false,accepted_exact_normalized_name
DDInter1013,Labetalol,labetalol,Labetalol,labetalol,DB00598,true,false,,false,accepted_exact_normalized_name
DDInter1014,Lacosamide,lacosamide,Lacosamide,lacosamide,DB06218,true,false,,false,accepted_exact_normalized_name
DDInter1016,Lactitol,lactitol,Lactitol,lactitol,DB12942,true,false,,false,accepted_exact_normalized_name
DDInter1018,Lactulose,lactulose,Lactulose,lactulose,DB00581,true,false,,false,accepted_exact_normalized_name
DDInter1019,Lamivudine,lamivudine,Lamivudine,lamivudine,DB00709,true,false,,false,accepted_exact_normalized_name
DDInter102,"Antihemophilic factor, human recombinant","antihemophilic factor, human recombinant","Antihemophilic factor, human recombinant","antihemophilic factor, human recombinant",DB00025,true,true,parenthetical_or_comma_exact_match;qualifier_preserved_exactly:recombinant,false,accepted_exact_normalized_name
DDInter1020,Lamotrigine,lamotrigine,Lamotrigine,lamotrigine,DB00555,true,false,,false,accepted_exact_normalized_name
DDInter1021,Lanreotide,lanreotide,Lanreotide,lanreotide,DB06791,true,false,,false,accepted_exact_normalized_name
DDInter1022,Lansoprazole,lansoprazole,Lansoprazole,lansoprazole,DB00448,true,false,,false,accepted_exact_normalized_name
DDInter1023,Lanthanum carbonate,lanthanum carbonate,Lanthanum carbonate,lanthanum carbonate,DB06792,true,false,,false,accepted_exact_normalized_name
DDInter1024,Lapatinib,lapatinib,Lapatinib,lapatinib,DB01259,true,false,,false,accepted_exact_normalized_name
DDInter1026,Larotrectinib,larotrectinib,Larotrectinib,larotrectinib,DB14723,true,false,,false,accepted_exact_normalized_name
DDInter1027,Lasmiditan,lasmiditan,Lasmiditan,lasmiditan,DB11732,true,false,,false,accepted_exact_normalized_name
DDInter1028,Latanoprost,latanoprost,Latanoprost,latanoprost,DB00654,true,false,,false,accepted_exact_normalized_name
DDInter103,Antilymphocyte immunoglobulin (horse),antilymphocyte immunoglobulin (horse),Antilymphocyte immunoglobulin (horse),antilymphocyte immunoglobulin (horse),DB09312,true,false,parenthetical_or_comma_exact_match,false,accepted_exact_normalized_name
DDInter1031,Ledipasvir,ledipasvir,Ledipasvir,ledipasvir,DB09027,true,false,,false,accepted_exact_normalized_name
DDInter1032,Lefamulin,lefamulin,Lefamulin,lefamulin,DB12825,true,false,,false,accepted_exact_normalized_name
