PrimeKG_node_A,PrimeKG_node_B
2797,2807
2797,2843
2797,2917
2797,2918
2797,2925
2797,2933
2797,2936
2797,2937
2797,2945
2797,2946
2797,2947
2797,2948
2797,2951
2797,2967
2797,2971
2797,2978
2797,2983
2797,2995
2797,2999
2797,3000
2797,3010
2797,3020
2797,3021
2797,3024
2797,3028
2797,3041
2797,3043
2797,3046
2797,3049
2797,3055
2797,3059
2797,3063
2797,3064
2797,3067
2797,3068
2797,3070
2797,3076
2797,3077
2797,3079
2797,3080
2797,3082
2797,3084
2797,3091
2797,3101
2797,3102
2797,3103
2797,3107
2797,3109
2797,3158
2797,3289
2797,3293
2797,3329
2797,3371
2797,3378
2797,3385
2797,3418
2797,3451
2797,3461
2797,3485
2797,3489
2797,3491
2797,3492
2797,3568
2797,3576
2797,3631
2797,3663
2797,3694
2797,3718
2797,3719
2797,3722
2797,3733
2797,3739
2797,3744
2797,3749
2797,3750
2797,3751
2797,3752
2797,3756
2797,3767
2797,3775
2797,3778
2797,3779
2797,3782
2797,3800
2797,3811
2797,3816
2797,3817
2797,3842
2797,3865
2797,3867
2797,3884
2797,3891
2797,3909
2797,3929
2797,3943
2797,4033
2797,4037
2797,4099
2797,4208
2797,4253
2797,4261
2797,4262
2797,4285
2797,4286
2797,4329
2797,4396
2797,4397
2797,4530
2797,4564
2797,4587
2797,4604
2797,4623
2797,4632
2797,4651
2797,4657
2797,4868
2797,5312
2797,5315
2797,5319
2797,5470
2797,5473
2797,6343
2797,6512
2797,7060
2797,8669
2797,9369
2800,2937
2800,2978
2800,3020
2800,3028
2800,3067
2800,3717
2800,4208
2800,4262
2800,4623
2800,4632
2800,6512
2801,2916
2801,2935
2801,2969
2801,3000
2801,3016
2801,3023
2801,3040
2801,3046
2801,3055
2801,3059
2801,3114
2801,3378
2801,3451
2801,3545
2801,3546
2801,3631
2801,3756
2801,3943
2801,4037
2801,4052
2801,4239
2801,4249
2801,4262
2801,4329
2801,4397
2801,4651
2801,4657
2801,5312
2801,5315
2801,5319
2801,5574
2801,5575
2801,5576
2801,5578
2801,5931
2801,6343
2801,8669
2801,9010
2801,9211
2801,9369
2801,10265
2801,10696
2802,2837
2802,2841
2802,2844
2802,2845
2802,2916
2802,2917
2802,2920
2802,2921
2802,2924
2802,2925
2802,2926
2802,2930
2802,2935
2802,2941
2802,2945
2802,2946
2802,2947
2802,2948
2802,2949
2802,2951
2802,2958
2802,2964
2802,2966
2802,2967
2802,2969
2802,2971
2802,2974
2802,2977
2802,2979
2802,2980
2802,2981
2802,2983
2802,2985
2802,2987
2802,2990
2802,2991
2802,2992
2802,2994
2802,2995
2802,2998
2802,2999
2802,3000
2802,3002
2802,3005
2802,3010
2802,3016
2802,3017
2802,3018
2802,3019
2802,3021
2802,3023
2802,3025
2802,3028
2802,3034
2802,3038
2802,3040
2802,3042
2802,3046
2802,3050
2802,3053
2802,3054
2802,3055
2802,3059
2802,3061
2802,3063
2802,3064
2802,3065
2802,3068
2802,3069
2802,3070
2802,3076
2802,3079
2802,3084
2802,3087
2802,3089
2802,3091
2802,3092
2802,3100
2802,3102
2802,3109
2802,3110
2802,3111
2802,3112
2802,3113
2802,3114
2802,3122
2802,3146
2802,3152
2802,3158
2802,3161
2802,3166
2802,3168
2802,3170
2802,3183
2802,3190
2802,3206
2802,3210
2802,3218
2802,3230
2802,3238
2802,3242
2802,3258
2802,3273
2802,3280
2802,3285
2802,3286
2802,3288
2802,3291
2802,3292
2802,3297
2802,3302
2802,3310
2802,3321
2802,3322
2802,3327
2802,3330
2802,3334
2802,3365
2802,3373
2802,3378
2802,3383
2802,3385
2802,3386
2802,3389
2802,3437
2802,3446
2802,3451
2802,3452
2802,3463
2802,3473
2802,3474
2802,3491
2802,3495
2802,3508
2802,3534
2802,3545
2802,3546
2802,3554
2802,3567
2802,3582
2802,3592
2802,3596
2802,3618
2802,3619
2802,3629
2802,3631
2802,3636
2802,3637
2802,3638
2802,3640
2802,3642
2802,3643
2802,3644
2802,3652
2802,3707
2802,3717
2802,3718
2802,3719
2802,3721
2802,3722
2802,3727
2802,3729
2802,3739
2802,3742
2802,3746
2802,3748
2802,3749
2802,3750
2802,3751
2802,3756
2802,3758
2802,3759
2802,3767
2802,3775
2802,3776
2802,3778
2802,3783
2802,3795
2802,3796
2802,3798
2802,3800
2802,3811
2802,3816
2802,3817
2802,3836
2802,3837
2802,3840
2802,3842
2802,3856
2802,3862
2802,3878
2802,3884
2802,3888
2802,3891
2802,3893
2802,3916
2802,3929
2802,3936
2802,3943
2802,3970
2802,3981
2802,3984
2802,4001
2802,4010
2802,4014
2802,4033
2802,4037
2802,4052
2802,4065
2802,4066
2802,4072
2802,4076
2802,4078
2802,4080
2802,4083
2802,4087
2802,4088
2802,4093
2802,4094
2802,4097
2802,4101
2802,4105
2802,4107
2802,4108
2802,4109
2802,4110
2802,4111
2802,4115
2802,4121
2802,4149
2802,4209
2802,4211
2802,4213
2802,4229
2802,4230
2802,4234
2802,4235
2802,4238
2802,4239
2802,4248
2802,4249
2802,4253
2802,4261
2802,4262
2802,4263
2802,4275
2802,4277
2802,4284
2802,4285
2802,4286
2802,4290
2802,4303
2802,4305
2802,4329
2802,4349
2802,4356
2802,4361
2802,4381
2802,4386
2802,4392
2802,4396
2802,4397
2802,4442
2802,4449
2802,4454
2802,4457
2802,4468
2802,4480
2802,4481
2802,4485
2802,4514
2802,4521
2802,4528
2802,4530
2802,4535
2802,4536
2802,4545
2802,4552
2802,4553
2802,4557
2802,4560
2802,4561
2802,4564
2802,4565
2802,4587
2802,4612
2802,4618
2802,4619
2802,4623
2802,4630
2802,4638
2802,4649
2802,4651
2802,4657
2802,4658
2802,4667
2802,4670
2802,4767
2802,4769
2802,4795
2802,4852
2802,4992
2802,4993
2802,4997
2802,5015
2802,5054
2802,5055
2802,5068
2802,5086
2802,5137
2802,5159
2802,5160
2802,5226
2802,5312
2802,5315
2802,5319
2802,5371
2802,5470
2802,5472
2802,5473
2802,5574
2802,5575
2802,5576
2802,5578
2802,5657
2802,5845
2802,5849
2802,5919
2802,5931
2802,5953
2802,5958
2802,5999
2802,6087
2802,6091
2802,6142
2802,6179
2802,6180
2802,6181
2802,6200
2802,6343
2802,6366
2802,6367
2802,6368
2802,6384
2802,6395
2802,6432
2802,6615
2802,6732
2802,6733
2802,6734
2802,6774
2802,7013
2802,7017
2802,7199
2802,7200
2802,7393
2802,8085
2802,8386
2802,8387
2802,8388
2802,8397
2802,8398
2802,8454
2802,8669
2802,8909
2802,8952
2802,8972
2802,9010
2802,9071
2802,9089
2802,9140
2802,9145
2802,9158
2802,9159
2802,9199
2802,9200
2802,9211
2802,9255
2802,9257
2802,9286
2802,9369
2802,9406
2802,9580
2802,9595
2802,9657
2802,9659
2802,9662
2802,9663
2802,9670
2802,9671
2802,9673
2802,9685
2802,9723
2802,9725
2802,9729
2802,9730
2802,9773
2802,9818
2802,10243
2802,10265
2802,10287
2802,10400
2802,10401
2802,10696
2804,2843
2804,2936
2804,2937
2804,3077
2804,3103
2804,3865
2804,4623
2804,6012
2804,6512
2806,2807
2806,2811
2806,2813
2806,2816
2806,2817
2806,2823
2806,2835
2806,2837
2806,2841
2806,2842
2806,2843
2806,2844
2806,2845
2806,2916
2806,2917
2806,2918
2806,2920
2806,2921
2806,2923
2806,2924
2806,2925
2806,2926
2806,2927
2806,2930
2806,2931
2806,2933
2806,2935
2806,2936
2806,2937
2806,2939
2806,2940
2806,2941
2806,2943
2806,2944
2806,2945
2806,2946
2806,2947
2806,2948
2806,2949
2806,2951
2806,2954
2806,2956
2806,2957
2806,2958
2806,2959
2806,2960
2806,2962
2806,2963
2806,2964
2806,2965
2806,2966
2806,2967
2806,2968
2806,2969
2806,2970
2806,2971
2806,2972
2806,2973
2806,2974
2806,2975
2806,2976
2806,2977
2806,2978
2806,2979
2806,2980
2806,2981
2806,2983
2806,2985
2806,2987
