DDInter_ID_A,Drug_A,DrugBank_ID_A,DDInter_ID_B,Drug_B,DrugBank_ID_B,severity,PrimeKG_node_A,PrimeKG_node_B,mapping_method_A,mapping_method_B,PrimeKG_known_overlap
DDInter1,Abacavir,DB01048,DDInter1012,Ketotifen,DB00920,Unknown,4636,6019,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter1018,Lactulose,DB00581,Unknown,4636,9255,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter1022,Lansoprazole,DB00448,Unknown,4636,3569,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter1033,Leflunomide,DB01097,Major,4636,4107,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter1041,Leucovorin,DB00650,Unknown,4636,9057,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter1064,Levothyroxine,DB00451,Unknown,4636,2843,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter1088,Loperamide,DB00836,Unknown,4636,3908,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter1091,Loratadine,DB00455,Unknown,4636,3733,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter1202,Metronidazole,DB00916,Unknown,4636,3763,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter1231,Misoprostol,DB00929,Unknown,4636,5004,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter1242,Montelukast,DB00471,Unknown,4636,3382,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter1244,Morphine,DB00295,Unknown,4636,2933,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter1263,Naltrexone,DB00704,Moderate,4636,4639,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1,Abacavir,DB01048,DDInter127,Asparaginase Escherichia coli,DB00023,Moderate,4636,3285,exact normalized-name fallback,exact normalized-name fallback,false
