DDInter_ID_A,Drug_A,DrugBank_ID_A,DDInter_ID_B,Drug_B,DrugBank_ID_B,severity,query_direction,query_drug,query_drugbank_id,query_node,target_drug,target_drugbank_id,target_node,raw_target_score,rank,number_filtered,available_candidates_after_filtering,target_tie_count,tied_competitor_count,unique_available_scores
DDInter1046,Levetiracetam,DB01202,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Levetiracetam,DB01202,7060,-3.423917293548584,2523,1076,3202,1,0,3202
DDInter1064,Levothyroxine,DB00451,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Levothyroxine,DB00451,2843,0.7340738773345947,411,1076,3202,1,0,3202
DDInter1079,Lisinopril,DB00722,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Lisinopril,DB00722,5473,-2.9145729541778564,2462,1076,3202,1,0,3202
DDInter1091,Loratadine,DB00455,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Loratadine,DB00455,3733,0.13124290108680725,661,1076,3202,1,0,3202
DDInter1098,Lovastatin,DB00227,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Lovastatin,DB00227,2918,1.876131296157837,179,1076,3202,1,0,3202
DDInter1236,Modafinil,DB00745,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Modafinil,DB00745,3751,0.25979071855545044,612,1076,3202,1,0,3202
DDInter1244,Morphine,DB00295,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Morphine,DB00295,2933,0.040604591369628906,706,1076,3202,1,0,3202
DDInter1276,Nelfinavir,DB00220,DDInter749,Flunisolide,DB00180,Moderate,B_to_A,Flunisolide,DB00180,2797,Nelfinavir,DB00220,2917,1.3037304878234863,253,1076,3202,1,0,3202
DDInter1286,Niacin,DB00627,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Niacin,DB00627,3289,0.8709515929222107,359,1076,3202,1,0,3202
DDInter1290,Nicotine,DB00184,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Nicotine,DB00184,3663,1.9426538944244385,171,1076,3202,1,0,3202
DDInter1291,Nifedipine,DB01115,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Nifedipine,DB01115,3084,6.096827507019043,16,1076,3202,1,0,3202
DDInter130,Atenolol,DB00335,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Atenolol,DB00335,2945,0.5298669338226318,486,1076,3202,1,0,3202
DDInter1304,Nitroglycerin,DB00727,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Nitroglycerin,DB00727,3418,-1.7404553890228271,1965,1076,3202,1,0,3202
DDInter133,Atorvastatin,DB01076,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Atorvastatin,DB01076,3080,1.2343449592590332,268,1076,3202,1,0,3202
DDInter1335,Omacetaxine mepesuccinate,DB04865,DDInter749,Flunisolide,DB00180,Moderate,B_to_A,Flunisolide,DB00180,2797,Omacetaxine mepesuccinate,DB04865,8669,-0.10175514221191406,776,1076,3202,1,0,3202
DDInter1340,Omeprazole,DB00338,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Omeprazole,DB00338,3568,0.9670290946960449,331,1076,3202,1,0,3202
DDInter14,Acetaminophen,DB00316,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Acetaminophen,DB00316,2937,1.2916878461837769,257,1076,3202,1,0,3202
DDInter1497,Potassium chloride,DB00761,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Potassium chloride,DB00761,4868,-1.9086647033691406,2109,1076,3202,1,0,3202
DDInter1553,Quetiapine,DB01224,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Quetiapine,DB01224,3782,3.6979708671569824,101,1076,3202,1,0,3202
DDInter1568,Ranitidine,DB00863,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Ranitidine,DB00863,3485,0.4268602132797241,530,1076,3202,1,0,3202
DDInter1662,Sertraline,DB01104,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Sertraline,DB01104,3082,1.1127815246582031,298,1076,3202,1,0,3202
DDInter1675,Simvastatin,DB00641,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Simvastatin,DB00641,3744,0.578519344329834,464,1076,3202,1,0,3202
DDInter1707,Spironolactone,DB00421,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Spironolactone,DB00421,2951,1.0096356868743896,314,1076,3202,1,0,3202
DDInter1913,Valproic acid,DB00313,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Valproic acid,DB00313,2936,0.9204481840133667,346,1076,3202,1,0,3202
DDInter1928,Verapamil,DB00661,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Verapamil,DB00661,2995,4.603071212768555,73,1076,3202,1,0,3202
DDInter1949,Voxelotor,DB14975,DDInter749,Flunisolide,DB00180,Moderate,B_to_A,Flunisolide,DB00180,2797,Voxelotor,DB14975,4530,0.7925512790679932,391,1076,3202,1,0,3202
DDInter234,Brimonidine,DB00484,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Brimonidine,DB00484,4632,-2.087787628173828,2216,1076,3202,1,0,3202
DDInter248,Bumetanide,DB00887,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Bumetanide,DB00887,3451,1.9975634813308716,166,1076,3202,1,0,3202
DDInter25,Acyclovir,DB00787,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Acyclovir,DB00787,3020,-0.509711742401123,979,1076,3202,1,0,3202
DDInter305,Carvedilol,DB01136,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Carvedilol,DB01136,3091,3.2394156455993652,122,1076,3202,1,0,3202
DDInter334,Ceftriaxone,DB01212,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Ceftriaxone,DB01212,3101,0.12253522872924805,662,1076,3202,1,0,3202
DDInter388,Citalopram,DB00215,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Citalopram,DB00215,3865,4.05273962020874,92,1076,3202,1,0,3202
DDInter413,Clopidogrel,DB00758,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Clopidogrel,DB00758,3752,5.725436210632324,18,1076,3202,1,0,3202
DDInter416,Clotrimazole,DB00257,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Clotrimazole,DB00257,3867,-0.9033735990524292,1207,1076,3202,1,0,3202
DDInter42,Alendronic acid,DB00630,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Alendronic acid,DB00630,6512,0.39953792095184326,539,1076,3202,1,0,3202
DDInter451,Cyanocobalamin,DB00115,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Cyanocobalamin,DB00115,3489,1.4618632793426514,235,1076,3202,1,0,3202
DDInter454,Cyclobenzaprine,DB00924,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Cyclobenzaprine,DB00924,3043,-1.656510353088379,1887,1076,3202,1,0,3202
DDInter48,Allopurinol,DB00437,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Allopurinol,DB00437,3694,1.7973525524139404,183,1076,3202,1,0,3202
DDInter507,Desmopressin,DB00035,DDInter749,Flunisolide,DB00180,Major,B_to_A,Flunisolide,DB00180,2797,Desmopressin,DB00035,3378,-3.4451539516448975,2524,1076,3202,1,0,3202
DDInter534,Diazepam,DB00829,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Diazepam,DB00829,3028,1.566136121749878,215,1076,3202,1,0,3202
DDInter54,Alprazolam,DB00404,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Alprazolam,DB00404,2947,0.7250429391860962,412,1076,3202,1,0,3202
DDInter561,Diltiazem,DB00343,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Diltiazem,DB00343,2946,4.744566917419434,72,1076,3202,1,0,3202
DDInter598,Doxycycline,DB00254,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Doxycycline,DB00254,4208,2.521663188934326,142,1076,3202,1,0,3202
DDInter638,Enalapril,DB00584,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Enalapril,DB00584,2983,-0.4058261513710022,929,1076,3202,1,0,3202
DDInter712,Famotidine,DB00927,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Famotidine,DB00927,4099,-0.303429514169693,874,1076,3202,1,0,3202
DDInter714,Fedratinib,DB12500,DDInter749,Flunisolide,DB00180,Moderate,B_to_A,Flunisolide,DB00180,2797,Fedratinib,DB12500,4033,-0.41397517919540405,936,1076,3202,1,0,3202
DDInter716,Felodipine,DB01023,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Felodipine,DB01023,3767,4.709243297576904,72,1076,3202,1,0,3202
DDInter722,Fentanyl,DB00813,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Fentanyl,DB00813,3024,0.6626125574111938,437,1076,3202,1,0,3202
DDInter732,Fexofenadine,DB00950,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Fexofenadine,DB00950,3049,-0.7712126970291138,1129,1076,3202,1,0,3202
DDInter736,Finasteride,DB01216,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Finasteride,DB01216,3779,0.4881303310394287,506,1076,3202,1,0,3202
DDInter743,Fluconazole,DB00196,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Fluconazole,DB00196,3718,1.755357027053833,189,1076,3202,1,0,3202
DDInter749,Flunisolide,DB00180,DDInter771,Folic acid,DB00158,Unknown,A_to_B,Flunisolide,DB00180,2797,Folic acid,DB00158,3461,-0.36438101530075073,907,1076,3202,1,0,3202
DDInter749,Flunisolide,DB00180,DDInter777,Fosamprenavir,DB01319,Moderate,A_to_B,Flunisolide,DB00180,2797,Fosamprenavir,DB01319,4286,0.4209968149662018,532,1076,3202,1,0,3202
DDInter749,Flunisolide,DB00180,DDInter781,Fosinopril,DB00492,Unknown,A_to_B,Flunisolide,DB00180,2797,Fosinopril,DB00492,5470,-2.654642105102539,2420,1076,3202,1,0,3202
DDInter749,Flunisolide,DB00180,DDInter790,Furosemide,DB00695,Unknown,A_to_B,Flunisolide,DB00180,2797,Furosemide,DB00695,3000,1.9109017848968506,176,1076,3202,1,0,3202
DDInter749,Flunisolide,DB00180,DDInter791,Gabapentin,DB00996,Unknown,A_to_B,Flunisolide,DB00180,2797,Gabapentin,DB00996,3492,-3.255201816558838,2502,1076,3202,1,0,3202
DDInter749,Flunisolide,DB00180,DDInter812,Gemfibrozil,DB01241,Unknown,A_to_B,Flunisolide,DB00180,2797,Gemfibrozil,DB01241,3107,-0.15349435806274414,798,1076,3202,1,0,3202
DDInter749,Flunisolide,DB00180,DDInter856,Heparin,DB01109,Unknown,A_to_B,Flunisolide,DB00180,2797,Heparin,DB01109,3293,5.403311729431152,36,1076,3202,1,0,3202
DDInter749,Flunisolide,DB00180,DDInter90,Amprenavir,DB00701,Moderate,A_to_B,Flunisolide,DB00180,2797,Amprenavir,DB00701,3749,1.3200933933258057,251,1076,3202,1,0,3202
DDInter749,Flunisolide,DB00180,DDInter917,Indinavir,DB00224,Moderate,A_to_B,Flunisolide,DB00180,2797,Indinavir,DB00224,3722,1.4804339408874512,231,1076,3202,1,0,3202
DDInter749,Flunisolide,DB00180,DDInter989,Isosorbide dinitrate,DB00883,Unknown,A_to_B,Flunisolide,DB00180,2797,Isosorbide dinitrate,DB00883,4604,-0.714886486530304,1098,1076,3202,1,0,3202
DDInter749,Flunisolide,DB00180,DDInter990,Isosorbide mononitrate,DB01020,Unknown,A_to_B,Flunisolide,DB00180,2797,Isosorbide mononitrate,DB01020,3371,-0.6751009225845337,1073,1076,3202,1,0,3202
DDInter14,Acetaminophen,DB00316,DDInter755,Fluorometholone,DB00324,Unknown,B_to_A,Fluorometholone,DB00324,2800,Acetaminophen,DB00316,2937,-0.37037405371665955,1052,778,3500,1,0,3500
DDInter234,Brimonidine,DB00484,DDInter755,Fluorometholone,DB00324,Unknown,B_to_A,Fluorometholone,DB00324,2800,Brimonidine,DB00484,4632,-1.554062008857727,2411,778,3500,1,0,3500
DDInter25,Acyclovir,DB00787,DDInter755,Fluorometholone,DB00324,Unknown,B_to_A,Fluorometholone,DB00324,2800,Acyclovir,DB00787,3020,-1.6683142185211182,2504,778,3500,1,0,3500
DDInter339,Cephalexin,DB00567,DDInter755,Fluorometholone,DB00324,Unknown,B_to_A,Fluorometholone,DB00324,2800,Cephalexin,DB00567,2978,1.2672511339187622,299,778,3500,1,0,3500
DDInter42,Alendronic acid,DB00630,DDInter755,Fluorometholone,DB00324,Unknown,B_to_A,Fluorometholone,DB00324,2800,Alendronic acid,DB00630,6512,0.541325032711029,547,778,3500,1,0,3500
DDInter534,Diazepam,DB00829,DDInter755,Fluorometholone,DB00324,Unknown,B_to_A,Fluorometholone,DB00324,2800,Diazepam,DB00829,3028,-0.7931486368179321,1420,778,3500,1,0,3500
DDInter598,Doxycycline,DB00254,DDInter755,Fluorometholone,DB00324,Unknown,B_to_A,Fluorometholone,DB00324,2800,Doxycycline,DB00254,4208,1.7694965600967407,209,778,3500,1,0,3500
DDInter718,Fenofibrate,DB01039,DDInter755,Fluorometholone,DB00324,Unknown,B_to_A,Fluorometholone,DB00324,2800,Fenofibrate,DB01039,3067,-0.12842941284179688,916,778,3500,1,0,3500
DDInter1167,Methazolamide,DB00703,DDInter168,Beclomethasone dipropionate,DB00394,Moderate,B_to_A,Beclomethasone dipropionate,DB00394,2801,Methazolamide,DB00703,5575,1.3512039184570312,330,1142,3136,1,0,3136
DDInter1335,Omacetaxine mepesuccinate,DB04865,DDInter168,Beclomethasone dipropionate,DB00394,Moderate,B_to_A,Beclomethasone dipropionate,DB00394,2801,Omacetaxine mepesuccinate,DB04865,8669,-0.35162287950515747,979,1142,3136,1,0,3136
DDInter1399,Patiromer,DB09263,DDInter168,Beclomethasone dipropionate,DB00394,Moderate,B_to_A,Beclomethasone dipropionate,DB00394,2801,Patiromer,DB09263,10696,-2.0259652137756348,2152,1142,3136,1,0,3136
DDInter15,Acetazolamide,DB00819,DDInter168,Beclomethasone dipropionate,DB00394,Moderate,B_to_A,Beclomethasone dipropionate,DB00394,2801,Acetazolamide,DB00819,4249,1.7299809455871582,252,1142,3136,1,0,3136
DDInter168,Beclomethasone dipropionate,DB00394,DDInter1830,Tolevamer,DB01344,Moderate,A_to_B,Beclomethasone dipropionate,DB00394,2801,Tolevamer,DB01344,10265,-1.095384120941162,1353,1142,3136,1,0,3136
DDInter168,Beclomethasone dipropionate,DB00394,DDInter1901,Upadacitinib,DB15091,Major,A_to_B,Beclomethasone dipropionate,DB00394,2801,Upadacitinib,DB15091,4052,-1.2724734544754028,1473,1142,3136,1,0,3136
DDInter168,Beclomethasone dipropionate,DB00394,DDInter288,Capreomycin,DB00314,Moderate,A_to_B,Beclomethasone dipropionate,DB00394,2801,Capreomycin,DB00314,9211,0.09884309768676758,781,1142,3136,1,0,3136
DDInter168,Beclomethasone dipropionate,DB00394,DDInter507,Desmopressin,DB00035,Major,A_to_B,Beclomethasone dipropionate,DB00394,2801,Desmopressin,DB00035,3378,-3.3803298473358154,2477,1142,3136,1,0,3136
DDInter168,Beclomethasone dipropionate,DB00394,DDInter540,Diclofenamide,DB01144,Moderate,A_to_B,Beclomethasone dipropionate,DB00394,2801,Diclofenamide,DB01144,5578,1.1966348886489868,369,1142,3136,1,0,3136
DDInter168,Beclomethasone dipropionate,DB00394,DDInter776,Formoterol,DB00983,Minor,A_to_B,Beclomethasone dipropionate,DB00394,2801,Formoterol,DB00983,3055,2.5548088550567627,151,1142,3136,1,0,3136
DDInter168,Beclomethasone dipropionate,DB00394,DDInter779,Foscarnet,DB00529,Moderate,A_to_B,Beclomethasone dipropionate,DB00394,2801,Foscarnet,DB00529,9010,-2.1125338077545166,2206,1142,3136,1,0,3136
DDInter1013,Labetalol,DB00598,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Labetalol,DB00598,2985,3.0484554767608643,122,1392,2886,1,0,2886
DDInter1016,Lactitol,DB12942,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Lactitol,DB12942,9406,0.39404749870300293,578,1392,2886,1,0,2886
DDInter1018,Lactulose,DB00581,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Lactulose,DB00581,9255,0.9017527103424072,412,1392,2886,1,0,2886
DDInter1026,Larotrectinib,DB14723,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Larotrectinib,DB14723,4528,0.39925283193588257,576,1392,2886,1,0,2886
DDInter1039,Letermovir,DB12070,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Letermovir,DB12070,3836,2.7022252082824707,151,1392,2886,1,0,2886
DDInter1079,Lisinopril,DB00722,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Lisinopril,DB00722,5473,-1.1752585172653198,1231,1392,2886,1,0,2886
DDInter1095,Losartan,DB00678,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Losartan,DB00678,2998,3.70998215675354,65,1392,2886,1,0,2886
DDInter1101,Lumacaftor,DB09280,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Lumacaftor,DB09280,3210,1.5840873718261719,288,1392,2886,1,0,2886
DDInter1115,Magnesium citrate,DB11110,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Magnesium citrate,DB11110,9200,1.0861859321594238,362,1392,2886,1,0,2886
DDInter1120,Magnesium sulfate,DB00653,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Magnesium sulfate,DB00653,8952,2.8045573234558105,139,1392,2886,1,0,2886
DDInter1167,Methazolamide,DB00703,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Methazolamide,DB00703,5575,1.2570619583129883,337,1392,2886,1,0,2886
DDInter119,Armodafinil,DB06413,DDInter195,Betamethasone,DB00443,Minor,B_to_A,Betamethasone,DB00443,2802,Armodafinil,DB06413,3798,1.7435362339019775,267,1392,2886,1,0,2886
DDInter12,Acebutolol,DB01193,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Acebutolol,DB01193,3936,3.739717721939087,63,1392,2886,1,0,2886
DDInter1223,Mineral oil,DB11057,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Mineral oil,DB11057,9773,0.43521612882614136,565,1392,2886,1,0,2886
DDInter1226,Minoxidil,DB00350,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Minoxidil,DB00350,4638,-1.3354625701904297,1325,1392,2886,1,0,2886
DDInter1236,Modafinil,DB00745,DDInter195,Betamethasone,DB00443,Minor,B_to_A,Betamethasone,DB00443,2802,Modafinil,DB00745,3751,1.44196355342865,304,1392,2886,1,0,2886
DDInter1237,Moexipril,DB00691,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Moexipril,DB00691,5472,0.7309073209762573,453,1392,2886,1,0,2886
DDInter1255,Nadolol,DB01203,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Nadolol,DB01203,3365,2.6688451766967773,153,1392,2886,1,0,2886
DDInter126,Asparaginase Erwinia chrysanthemi,DB08886,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Asparaginase Erwinia chrysanthemi,DB08886,3297,-0.9368277788162231,1105,1392,2886,1,0,2886
DDInter127,Asparaginase Escherichia coli,DB00023,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Asparaginase Escherichia coli,DB00023,3285,-0.6441064476966858,965,1392,2886,1,0,2886
DDInter1271,Nebivolol,DB04861,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Nebivolol,DB04861,3152,2.906942844390869,135,1392,2886,1,0,2886
DDInter1276,Nelfinavir,DB00220,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Nelfinavir,DB00220,2917,3.4013099670410156,89,1392,2886,1,0,2886
DDInter130,Atenolol,DB00335,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Atenolol,DB00335,2945,2.4687509536743164,178,1392,2886,1,0,2886
DDInter1305,Nitroprusside,DB00325,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Nitroprusside,DB00325,4649,-0.6095404624938965,959,1392,2886,1,0,2886
DDInter1308,Nivolumab,DB09035,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Nivolumab,DB09035,8386,-5.564019203186035,2517,1392,2886,1,0,2886
DDInter131,Atezolizumab,DB11595,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Atezolizumab,DB11595,8397,-5.740838050842285,2530,1392,2886,1,0,2886
DDInter1330,Olmesartan,DB00275,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Olmesartan,DB00275,4992,-0.16733264923095703,789,1392,2886,1,0,2886
DDInter1335,Omacetaxine mepesuccinate,DB04865,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Omacetaxine mepesuccinate,DB04865,8669,-0.7490342855453491,1018,1392,2886,1,0,2886
DDInter1360,Oxcarbazepine,DB00776,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Oxcarbazepine,DB00776,3017,1.6409646272659302,278,1392,2886,1,0,2886
DDInter1399,Patiromer,DB09263,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Patiromer,DB09263,10696,-2.2418363094329834,2122,1392,2886,1,0,2886
DDInter1413,Pembrolizumab,DB09037,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Pembrolizumab,DB09037,8387,-5.704242706298828,2528,1392,2886,1,0,2886
DDInter1417,Penbutolol,DB01359,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Penbutolol,DB01359,3330,1.6452202796936035,278,1392,2886,1,0,2886
DDInter1423,Pentobarbital,DB00312,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Pentobarbital,DB00312,4213,3.11910343170166,110,1392,2886,1,0,2886
DDInter1431,Perindopril,DB00790,DDInter195,Betamethasone,DB00443,Moderate,B_to_A,Betamethasone,DB00443,2802,Perindopril,DB00790,3629,-1.446605920791626,1404,1392,2886,1,0,2886
