DDInter_ID_A,Drug_A,DrugBank_ID_A,DDInter_ID_B,Drug_B,DrugBank_ID_B,severity,query_direction,query_drug,query_drugbank_id,query_node,target_drug,target_drugbank_id,target_node,raw_target_score,rank,number_filtered,available_candidates_after_filtering,target_tie_count,tied_competitor_count,unique_available_scores
DDInter1046,Levetiracetam,DB01202,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Levetiracetam,DB01202,7060,0.3388538360595703,1457,1076,3202,1,0,3062
DDInter1064,Levothyroxine,DB00451,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Levothyroxine,DB00451,2843,2.400221586227417,62,1076,3202,1,0,3062
DDInter1079,Lisinopril,DB00722,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Lisinopril,DB00722,5473,1.3984601497650146,464,1076,3202,1,0,3062
DDInter1091,Loratadine,DB00455,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Loratadine,DB00455,3733,0.8706294298171997,947,1076,3202,1,0,3062
DDInter1098,Lovastatin,DB00227,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Lovastatin,DB00227,2918,2.3658318519592285,63,1076,3202,1,0,3062
DDInter1236,Modafinil,DB00745,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Modafinil,DB00745,3751,1.3975129127502441,465,1076,3202,1,0,3062
DDInter1244,Morphine,DB00295,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Morphine,DB00295,2933,2.466794729232788,56,1076,3202,1,0,3062
DDInter1276,Nelfinavir,DB00220,DDInter749,Flunisolide,DB00180,Moderate,B_to_A,Flunisolide,DB00180,2797,Nelfinavir,DB00220,2917,2.3866894245147705,62,1076,3202,1,0,3062
DDInter1286,Niacin,DB00627,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Niacin,DB00627,3289,1.2790272235870361,612,1076,3202,1,0,3062
DDInter1290,Nicotine,DB00184,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Nicotine,DB00184,3663,2.254014492034912,74,1076,3202,1,0,3062
DDInter1291,Nifedipine,DB01115,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Nifedipine,DB01115,3084,3.2599804401397705,14,1076,3202,1,0,3062
DDInter130,Atenolol,DB00335,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Atenolol,DB00335,2945,2.2112793922424316,77,1076,3202,1,0,3062
DDInter1304,Nitroglycerin,DB00727,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Nitroglycerin,DB00727,3418,0.8014528155326843,1003,1076,3202,1,0,3062
DDInter133,Atorvastatin,DB01076,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Atorvastatin,DB01076,3080,2.1499602794647217,87,1076,3202,1,0,3062
DDInter1335,Omacetaxine mepesuccinate,DB04865,DDInter749,Flunisolide,DB00180,Moderate,B_to_A,Flunisolide,DB00180,2797,Omacetaxine mepesuccinate,DB04865,8669,0.2434162199497223,1531,1076,3202,1,0,3062
DDInter1340,Omeprazole,DB00338,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Omeprazole,DB00338,3568,1.849542498588562,190,1076,3202,1,0,3062
DDInter14,Acetaminophen,DB00316,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Acetaminophen,DB00316,2937,3.182435989379883,15,1076,3202,1,0,3062
DDInter1497,Potassium chloride,DB00761,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Potassium chloride,DB00761,4868,1.2469899654388428,646,1076,3202,1,0,3062
DDInter1553,Quetiapine,DB01224,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Quetiapine,DB01224,3782,2.153745174407959,86,1076,3202,1,0,3062
DDInter1568,Ranitidine,DB00863,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Ranitidine,DB00863,3485,2.1662638187408447,82,1076,3202,1,0,3062
DDInter1662,Sertraline,DB01104,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Sertraline,DB01104,3082,2.705491542816162,38,1076,3202,1,0,3062
DDInter1675,Simvastatin,DB00641,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Simvastatin,DB00641,3744,2.0129990577697754,123,1076,3202,1,0,3062
DDInter1707,Spironolactone,DB00421,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Spironolactone,DB00421,2951,1.9633078575134277,138,1076,3202,1,0,3062
DDInter1913,Valproic acid,DB00313,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Valproic acid,DB00313,2936,2.5841827392578125,45,1076,3202,1,0,3062
DDInter1928,Verapamil,DB00661,DDInter749,Flunisolide,DB00180,Unknown,B_to_A,Flunisolide,DB00180,2797,Verapamil,DB00661,2995,3.1482982635498047,17,1076,3202,1,0,3062
