Drug_A,DrugBank_ID_A,PrimeKG_node_A,Drug_B,DrugBank_ID_B,PrimeKG_node_B,mapping_method_A,mapping_method_B,source_row_count,unique_description_count,PrimeKG_train_overlap,PrimeKG_known_overlap
Abacavir,DB01048,4636,Amprenavir,DB00701,3749,exact normalized-name,exact normalized-name,1,1,False,False
Abacavir,DB01048,4636,Apixaban,DB06605,3802,exact normalized-name,exact normalized-name,1,1,False,False
Abacavir,DB01048,4636,Argatroban,DB00278,2929,exact normalized-name,exact normalized-name,1,1,False,False
Abacavir,DB01048,4636,Asunaprevir,DB11586,3826,exact normalized-name,exact normalized-name,1,1,False,False
Abacavir,DB01048,4636,Benazepril,DB00542,3618,exact normalized-name,exact normalized-name,1,1,False,False
Abacavir,DB01048,4636,Bivalirudin,DB00006,3553,exact normalized-name,exact normalized-name,1,1,False,False
Abacavir,DB01048,4636,Boceprevir,DB08873,3811,exact normalized-name,exact normalized-name,1,1,False,False
Abacavir,DB01048,4636,Captopril,DB01197,3100,exact normalized-name,exact normalized-name,1,1,False,False
Abacavir,DB01048,4636,Cilastatin,DB01597,7470,exact normalized-name,exact normalized-name,1,1,False,False
Abacavir,DB01048,4636,Cilazapril,DB01340,5476,exact normalized-name,exact normalized-name,1,1,False,False
Abacavir,DB01048,4636,Ecabet,DB05265,8114,exact normalized-name,exact normalized-name,1,1,False,False
Abacavir,DB01048,4636,Enalapril,DB00584,2983,exact normalized-name,exact normalized-name,1,1,False,False
Abacavir,DB01048,4636,Fosamprenavir,DB01319,4286,exact normalized-name,exact normalized-name,1,1,False,False
Abacavir,DB01048,4636,Isoflurophate,DB00677,2997,exact normalized-name,exact normalized-name,1,1,False,False
Abacavir,DB01048,4636,Linagliptin,DB08882,4381,exact normalized-name,exact normalized-name,1,1,False,False
Abacavir,DB01048,4636,Moexipril,DB00691,5472,exact normalized-name,exact normalized-name,1,1,False,False
Abacavir,DB01048,4636,Nafamostat,DB12598,4965,exact normalized-name,exact normalized-name,1,1,False,False
Abacavir,DB01048,4636,Quinapril,DB00881,3038,exact normalized-name,exact normalized-name,1,1,False,False
Abacavir,DB01048,4636,Ramipril,DB00178,3619,exact normalized-name,exact normalized-name,1,1,False,False
Abacavir,DB01048,4636,Remikiren,DB00212,5586,exact normalized-name,exact normalized-name,1,1,False,False
Abacavir,DB01048,4636,Saquinavir,DB01232,3102,exact normalized-name,exact normalized-name,1,1,False,False
Abacavir,DB01048,4636,Simeprevir,DB06290,3165,exact normalized-name,exact normalized-name,1,1,False,False
Abacavir,DB01048,4636,Spirapril,DB01348,5477,exact normalized-name,exact normalized-name,1,1,False,False
Abacavir,DB01048,4636,Telaprevir,DB05521,3158,exact normalized-name,exact normalized-name,1,1,False,False
