drug_node_id,drug_id,drug_name,relation,context_group,context_node_id,context_id,context_name,context_source
4775,DB02047,(+)-2-(4-biphenyl)propionic acid,target,gene/protein,2079,5742,PTGS1,NCBI
6397,DB02205,(+)-Rutamarin alcohol,target,gene/protein,283,26330,GAPDHS,NCBI
7795,DB03216,"(1'R,2'S)-9-(2-Hydroxy-3'-Keto-Cyclopenten-1-yl)Adenine",target,gene/protein,1205,191,AHCY,NCBI
9054,DB04100,"(1,10 Phenanthroline)-(Tri-Carbon Monoxide) Rhenium (I)",transporter,gene/protein,848,1244,ABCC2,NCBI
7754,DB03121,(1-Benzyl-5-methoxy-2-methyl-1H-indol-3-yl)acetic acid,target,gene/protein,2166,5320,PLA2G2A,NCBI
8488,DB06830,"(1-HYDROXYHEPTANE-1,1-DIYL)BIS(PHOSPHONIC ACID)",target,gene/protein,1266,9453,GGPS1,NCBI
8489,DB06931,"(1-HYDROXYNONANE-1,1-DIYL)BIS(PHOSPHONIC ACID)",target,gene/protein,1266,9453,GGPS1,NCBI
8800,DB03062,(1-Methyl-1h-Imidazol-2-Yl)-(3-Methyl-4-{3-[(Pyridin-3-Ylmethyl)-Amino]-Propoxy}-Benzofuran-2-Yl)-Methanone,target,gene/protein,942,4836,NMT1,NCBI
7671,DB07430,"(10R)-10-methyl-3-(6-methylpyridin-3-yl)-9,10,11,12-tetrahydro-8H-[1,4]diazepino[5',6':4,5]thieno[3,2-f]quinolin-8-one",target,gene/protein,1026,9261,MAPKAPK2,NCBI
8078,DB07216,"(11S)-8-CHLORO-11-[1-(METHYLSULFONYL)PIPERIDIN-4-YL]-6-PIPERAZIN-1-YL-11H-BENZO[5,6]CYCLOHEPTA[1,2-B]PYRIDINE",target,gene/protein,1354,2339,FNTA,NCBI
8078,DB07216,"(11S)-8-CHLORO-11-[1-(METHYLSULFONYL)PIPERIDIN-4-YL]-6-PIPERAZIN-1-YL-11H-BENZO[5,6]CYCLOHEPTA[1,2-B]PYRIDINE",target,gene/protein,545,2342,FNTB,NCBI
7258,DB06888,"(13R,15S)-13-METHYL-16-OXA-8,9,12,22,24-PENTAAZAHEXACYCLO[15.6.2.16,9.1,12,15.0,2,7.0,21,25]HEPTACOSA-1(24),2,4,6,17(25),18,20-HEPTAENE-23,26-DIONE",target,gene/protein,14,1017,CDK2,NCBI
5729,DB07596,"(17beta)-17-(cyanomethyl)-2-methoxyestra-1(10),2,4-trien-3-yl sulfamate",target,gene/protein,2213,760,CA2,NCBI
6294,DB08553,"(1E)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1H-pyrazol-4-yl)-2,3-dihydro-1H-inden-1-one oxime",target,gene/protein,529,673,BRAF,NCBI
