node_id,original_index,entity_name,entity_id,entity_source,entity_type
2795,14012,Copper,DB09130,DrugBank,drug
2797,14014,Flunisolide,DB00180,DrugBank,drug
2798,14015,Alclometasone,DB00240,DrugBank,drug
2799,14016,Medrysone,DB00253,DrugBank,drug
2800,14017,Fluorometholone,DB00324,DrugBank,drug
2801,14018,Beclomethasone dipropionate,DB00394,DrugBank,drug
2802,14019,Betamethasone,DB00443,DrugBank,drug
2803,14020,Fluticasone propionate,DB00588,DrugBank,drug
2804,14021,Fluocinolone acetonide,DB00591,DrugBank,drug
2805,14022,Ulobetasol,DB00596,DrugBank,drug
2806,14023,Triamcinolone,DB00620,DrugBank,drug
2807,14024,Prednisone,DB00635,DrugBank,drug
2808,14025,Mitotane,DB00648,DrugBank,drug
2809,14026,Flumethasone,DB00663,DrugBank,drug
2810,14027,Fludrocortisone,DB00687,DrugBank,drug
2811,14028,Hydrocortisone,DB00741,DrugBank,drug
2812,14029,Flurandrenolide,DB00846,DrugBank,drug
2813,14030,Prednisolone,DB00860,DrugBank,drug
2814,14031,Rimexolone,DB00896,DrugBank,drug
2815,14032,Clobetasol propionate,DB01013,DrugBank,drug
2816,14033,Fluocinonide,DB01047,DrugBank,drug
2817,14034,Budesonide,DB01222,DrugBank,drug
2818,14035,Paramethasone,DB01384,DrugBank,drug
2819,14036,Ciclesonide,DB01410,DrugBank,drug
2821,14038,Fluticasone furoate,DB08906,DrugBank,drug
2822,14039,Medrogestone,DB09124,DrugBank,drug
2823,14040,Fluticasone,DB13867,DrugBank,drug
2824,14041,Hydrocortisone aceponate,DB14538,DrugBank,drug
2825,14042,Hydrocortisone acetate,DB14539,DrugBank,drug
2826,14043,Hydrocortisone butyrate,DB14540,DrugBank,drug
2827,14044,Hydrocortisone cypionate,DB14541,DrugBank,drug
2828,14045,Hydrocortisone phosphate,DB14542,DrugBank,drug
2829,14046,Hydrocortisone probutate,DB14543,DrugBank,drug
2830,14047,Hydrocortisone valerate,DB14544,DrugBank,drug
2831,14048,Prednisolone phosphate,DB14631,DrugBank,drug
2832,14049,Betamethasone phosphate,DB14669,DrugBank,drug
2833,14050,Prednisolone acetate,DB15566,DrugBank,drug
2835,14052,Vitamin A,DB00162,DrugBank,drug
2836,14053,Beta carotene,DB06755,DrugBank,drug
2837,14054,Vitamin E,DB00163,DrugBank,drug
2839,14056,Fenretinide,DB05076,DrugBank,drug
2841,14058,Diethylstilbestrol,DB00255,DrugBank,drug
2842,14059,Liothyronine,DB00279,DrugBank,drug
2843,14060,Levothyroxine,DB00451,DrugBank,drug
2844,14061,Diclofenac,DB00586,DrugBank,drug
2845,14062,Diflunisal,DB00861,DrugBank,drug
2846,14063,Dimethyl sulfoxide,DB01093,DrugBank,drug
2847,14064,Liotrix,DB01583,DrugBank,drug
2848,14065,Genistein,DB01645,DrugBank,drug
2852,14069,Flufenamic acid,DB02266,DrugBank,drug
2855,14072,Resveratrol,DB02709,DrugBank,drug
2888,14105,"Thyroid, porcine",DB09100,DrugBank,drug
2889,14106,Hydroxocobalamin,DB00200,DrugBank,drug
2890,14107,Glycyrrhizic acid,DB13751,DrugBank,drug
2891,14108,Ubidecarenone,DB09270,DrugBank,drug
2892,14109,Tocopherol,DB11251,DrugBank,drug
2893,14110,alpha-Tocopherol acetate,DB14003,DrugBank,drug
2894,14111,Alitretinoin,DB00523,DrugBank,drug
2895,14112,Etretinate,DB00926,DrugBank,drug
2897,14114,Iron Dextran,DB00893,DrugBank,drug
2898,14115,Bismuth subsalicylate,DB01294,DrugBank,drug
2899,14116,Gallium nitrate,DB05260,DrugBank,drug
2900,14117,Chromium,DB11136,DrugBank,drug
2902,14119,Ferric cation,DB13949,DrugBank,drug
2903,14120,Tetraferric tricitrate decahydrate,DB14520,DrugBank,drug
2904,14121,Chromic citrate,DB14526,DrugBank,drug
2905,14122,Chromic nitrate,DB14527,DrugBank,drug
2906,14123,Chromium gluconate,DB14528,DrugBank,drug
2907,14124,Chromium nicotinate,DB14529,DrugBank,drug
2908,14125,Chromous sulfate,DB14530,DrugBank,drug
2909,14126,Hyaluronidase (ovine),DB00070,DrugBank,drug
2910,14127,Octreotide,DB00104,DrugBank,drug
2911,14128,Ascorbic acid,DB00126,DrugBank,drug
2913,14130,Thiamine,DB00152,DrugBank,drug
2914,14131,Icosapent,DB00159,DrugBank,drug
2915,14132,Pyridoxine,DB00165,DrugBank,drug
2916,14133,Torasemide,DB00214,DrugBank,drug
2917,14134,Nelfinavir,DB00220,DrugBank,drug
2918,14135,Lovastatin,DB00227,DrugBank,drug
2919,14136,Enflurane,DB00228,DrugBank,drug
2920,14137,Butabarbital,DB00237,DrugBank,drug
2921,14138,Nevirapine,DB00238,DrugBank,drug
2922,14139,Benzatropine,DB00245,DrugBank,drug
2923,14140,Ziprasidone,DB00246,DrugBank,drug
2924,14141,Phenytoin,DB00252,DrugBank,drug
2925,14142,Metoprolol,DB00264,DrugBank,drug
2926,14143,Dicoumarol,DB00266,DrugBank,drug
2927,14144,Topiramate,DB00273,DrugBank,drug
2928,14145,Cefmetazole,DB00274,DrugBank,drug
2929,14146,Argatroban,DB00278,DrugBank,drug
2930,14147,Conjugated estrogens,DB00286,DrugBank,drug
2931,14148,Atomoxetine,DB00289,DrugBank,drug
2932,14149,Etonogestrel,DB00294,DrugBank,drug
2933,14150,Morphine,DB00295,DrugBank,drug
2934,14151,Desogestrel,DB00304,DrugBank,drug
2935,14152,Chlorthalidone,DB00310,DrugBank,drug
2936,14153,Valproic acid,DB00313,DrugBank,drug
2937,14154,Acetaminophen,DB00316,DrugBank,drug
2938,14155,Gefitinib,DB00317,DrugBank,drug
2939,14156,Amitriptyline,DB00321,DrugBank,drug
2940,14157,Hydromorphone,DB00327,DrugBank,drug
