Drug_A,Drug_B,Rank_G0,Rank_G1,Rank_G2,Rank_G3,Rank_Improvement
Rhein,Mestranol,647,416,641,479,168
Spironolactone,Sacubitril,368,400,358,395,-27
Norethisterone,Fluindione,426,778,384,1169,-743
Methylene blue,Brexanolone,464,597,602,551,-87
Fluorouracil,Lofexidine,558,3085,975,1113,-555
Corticotropin,Interferon alfa,186,116,180,81,105
Eslicarbazepine,Alfaxalone,185,180,170,161,24
Framycetin,Testolactone,74,75,75,75,-1
Obinutuzumab,Indusatumab vedotin,102,106,100,104,-2
Evening primrose oil,Nilutamide,231,239,237,241,-10
Patent Blue,Oxyquinoline,63,62,64,63,0
Lumateperone,Indalpine,501,546,526,517,-16
Quinidine,Phenazocine,417,692,429,1715,-1298
Fludiazepam,Ecopipam,212,206,211,204,8
Montelukast,Norfloxacin,193,542,461,579,-386
Indomethacin,Hydroxytyrosol,1213,862,1075,1260,-47
Irinotecan,Tilmicosin,988,405,886,414,574
Quinestrol,Lucatumumab,148,159,146,149,-1
Felodipine,Clocortolone acetate,1081,782,969,1280,-199
Vinorelbine,Cefradine,886,3309,3178,1914,-1028
Salmeterol,Methyldopa,612,328,673,82,530
Phenytoin,Mequitazine,1151,356,1043,272,879
Armodafinil,Bortezomib,2,104,3,117,-115
Bucindolol,Tinoridine,246,3641,233,3623,-3377
Aripiprazole,Niaprazine,32,12,10,8,24
Solifenacin,Ibutilide,1224,2065,1610,2960,-1736
Pralatrexate,Efalizumab,753,3409,765,3479,-2726
Ceftazidime,Latamoxef,117,116,114,109,8
Antithymocyte immunoglobulin (rabbit),Pembrolizumab,214,215,215,218,-4
Tacrolimus,Reteplase,1485,1388,1441,1562,-77
Levobupivacaine,Nabilone,1432,2766,1758,1469,-37
Iloprost,Isocarboxazid,162,1562,315,1874,-1712
Cyclopentolate,Dicyclomine,45,1892,50,368,-323
Indenolol,Potassium sulfate,887,1655,946,3213,-2326
Brivaracetam,Sulfasalazine,1256,1275,1258,1269,-13
