Graph,Seed,Threshold,Validation_F1,TP,FP,TN,FN,Accuracy,Precision,Recall,F1
G0,42,0.7847468256950378,0.9190309643745422,120599,8232,125382,13015,0.9204911162003981,0.9361023356179802,0.9025925426976215,0.9190420850082875
G0,43,0.7920876741409302,0.9191544055938721,120426,7760,125854,13188,0.9216100109269987,0.9394629678748069,0.9012977681979434,0.9199847211611918
G0,44,0.7637497186660767,0.9134477972984314,119852,8879,124735,13762,0.9152745969733711,0.9310267146219636,0.8970018111874504,0.9136976119232308
G0,45,0.7983568906784058,0.9195703268051147,120980,8273,125341,12634,0.9217634379630877,0.935993748694421,0.9054440402951787,0.9204654825444046
G0,46,0.7792761921882629,0.9150274395942688,119762,8391,125223,13852,0.9167639618602841,0.9345235772865247,0.8963282290777912,0.915027486275963
G1,42,0.7834153771400452,0.9230552911758423,121690,8136,125478,11924,0.9249330160013173,0.9373315052454824,0.9107578547158232,0.9238536289098087
G1,43,0.7752463817596436,0.9202689528465271,121269,8517,125097,12345,0.9219318334905025,0.9343765891544542,0.9076069872917508,0.9207972665148063
G1,44,0.7967084646224976,0.9179357290267944,120586,8349,125265,13028,0.920004640232311,0.9352464420056618,0.9024952475040041,0.9185790081089625
G1,45,0.827035665512085,0.9203279614448547,120762,7752,125862,12852,0.922897301181014,0.9396797236098791,0.9038124747406708,0.9213971800036622
G1,46,0.8143934011459351,0.9179458618164062,120180,8021,125593,13434,0.9197127546514586,0.9374341853807693,0.8994566437648749,0.9180528235586196
G2,42,0.7645020484924316,0.9208134412765503,121171,8323,125291,12443,0.9222910772823207,0.9357267518186171,0.9068735312167887,0.9210742356750841
G2,43,0.7988007664680481,0.9156597852706909,119737,7918,125696,13877,0.9184404328887691,0.9379734440484118,0.8961411229362193,0.9165802295718206
G2,44,0.7737008333206177,0.9191539287567139,121101,8558,125056,12513,0.9211497298187316,0.9339960974556336,0.906349634020387,0.9199652072183626
G2,45,0.7637312412261963,0.9170042276382446,120689,8724,124890,12925,0.9189867828221594,0.9325879162062544,0.9032661248072806,0.9176928604287772
G2,46,0.7930482625961304,0.9166147708892822,120057,8175,125439,13557,0.9186761866271499,0.9362483623432528,0.8985360815483407,0.9170046515891019
G3,42,0.8121537566184998,0.922336995601654,121341,7843,125771,12273,0.9247234571227566,0.9392881471389646,0.9081458529794783,0.923454516396624
G3,43,0.7882111072540283,0.9238427877426147,121818,8191,125423,11796,0.9252061909680124,0.936996669461345,0.9117158381606718,0.924183398261912
G3,44,0.8183041214942932,0.9233207702636719,121566,8052,125562,12048,0.9247833310880597,0.937878998287275,0.9098298082536261,0.9236415025528811
G3,45,0.7782561182975769,0.917887270450592,120751,8489,125125,12863,0.920098193303097,0.9343160012380068,0.9037301480383793,0.9187685939723192
G3,46,0.8151389956474304,0.9165563583374023,119850,7941,125673,13764,0.9187772239435987,0.9378594736718548,0.8969868426961246,0.91696792333735
