graph,seed,delta_Accuracy_vs_G0,delta_Precision_vs_G0,delta_Recall_vs_G0,delta_F1_vs_G0,delta_ROC_AUC_vs_G0,delta_PR_AUC_vs_G0
A1_target,42,-0.05442917658329216,-0.02965549422124769,-0.0862110257907105,-0.059982105169577804,-0.03775331428286488,-0.029879291386061935
A1_target,43,-0.06106396036343498,-0.048598870511723735,-0.079535078659422,-0.06506538641595694,-0.04124317133664945,-0.03433676267249908
A1_target,44,-0.06509796877572716,-0.04425219841560013,-0.0941368419477,-0.07096139415706237,-0.04860825892364584,-0.03803779310563338
A2_enzyme,42,-0.0535946831918811,-0.031115016642706106,-0.08272336731180863,-0.05871404105966549,-0.0427442947524288,-0.03392336672301011
A2_enzyme,43,-0.047828071908632364,-0.03499492929272274,-0.06544972832188245,-0.05117951211069993,-0.03746598005813595,-0.02937557461521556
A2_enzyme,44,-0.043281392668433005,-0.027971985752464734,-0.06354124567784813,-0.04683452416815259,-0.03188756248298508,-0.02587856307442915
A3_transporter,42,-0.0291024892601075,-0.010427539928858254,-0.051476641669286116,-0.03221108206832657,-0.027911501604807487,-0.019418251057836233
A3_transporter,43,-0.03196895534899036,-0.01569918129713399,-0.051918212163396094,-0.03497327728298427,-0.030695958842462234,-0.021481852986866
A3_transporter,44,-0.02231427844387568,-0.00453820840800867,-0.04334875087939882,-0.025116879307659268,-0.023226544296737206,-0.01583264372821147
A4_carrier,42,-0.004988249734309225,0.004068604552959987,-0.015110691993353909,-0.005975171941374313,-0.0036434600016309604,-0.0026962258111358217
A4_carrier,43,-0.005553310281856683,-0.00400840817810777,-0.0075141826455311644,-0.005840291515912477,-0.003989488706272359,-0.00295234886052953
A4_carrier,44,-0.004662685047974069,0.004871841744879646,-0.015395093328543386,-0.00575586756823987,-0.004103933517758174,-0.0028419861482580355
A5_indication,42,-0.015447483048183552,0.0010397368681469565,-0.03426287664466299,-0.017617548167286223,-0.011281681385081677,-0.008326022081802775
A5_indication,43,-0.020050294130854573,-0.00470783871394731,-0.03791518852814835,-0.022332343580713565,-0.013052601707282951,-0.009844651178988917
A5_indication,44,-0.023601568697890984,-0.00801756463327985,-0.04236831469756164,-0.02619129707459289,-0.0199638397898364,-0.013802597556538232
A6_contraindication,42,-0.009097100603230213,-0.004649140220733705,-0.014444594129357613,-0.009756830464504707,-0.005470517263571839,-0.004530722902099327
A6_contraindication,43,-0.010930740790635718,-0.004025685603367357,-0.019047405212028745,-0.011919043333813661,-0.00610925540199414,-0.005025569129245233
A6_contraindication,44,-0.005025670962623741,0.00224549240650751,-0.013321957279925689,-0.005898374624670133,-0.0035694026362887987,-0.002831154495525734
A7_off_label,42,-0.0015118176239016234,-0.0009126157084673459,-0.0022377894532009668,-0.0016003974646746633,-0.0009058608556558045,-0.0006827025623774574
A7_off_label,43,0.0019122247668657,-0.003176779986907463,0.007596509347822744,0.0024021935696100227,0.001527849651775992,0.001089470020415817
A7_off_label,44,-0.018972562755399935,-0.00597634416834858,-0.03451734099720083,-0.021025133021952302,-0.012031087819603492,-0.010309570894076914
