graph,seed,checkpoint,best_epoch,best_val_loss,threshold_raw_score,validation_best_f1,validation_precision,validation_recall,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,TP,TN,FP,FN,evaluation_seconds
G0,42,checkpoints/rgcn/G0_best.pt,500,0.26335713267326355,0.784747302532196,0.9190309783582118,0.9362678489622561,0.9024173027989821,0.9204911162003981,0.9361023356179802,0.9025925426976215,0.9190420850082874,0.9731104883732968,0.9765659785063194,120599,125382,8232,13015,0.6563427448272705
G0,43,checkpoints/rgcn_multiseed/G0_seed43_best.pt,500,0.26226329803466797,0.7920876145362854,0.9191543950610686,0.9382146392411477,0.9008531656937584,0.9216100109269987,0.9394629678748069,0.9012977681979434,0.9199847211611918,0.9727473936795888,0.9763193658045032,120426,125854,7760,13188,0.3364565372467041
G0,44,checkpoints/rgcn_multiseed/G0_seed44_best.pt,495,0.2717547118663788,0.7637495398521423,0.913447820746584,0.9315200647299547,0.8960634635533603,0.9152745969733711,0.9310267146219636,0.8970018111874504,0.9136976119232308,0.9708272679233976,0.9745123877998695,119852,124735,8879,13762,0.33992576599121094
A1_target,42,checkpoints/relation_ablation/A1_target_seed42_best.pt,500,0.25854337215423584,0.7517119646072388,0.8588429543636487,0.9069972616877658,0.8155440802275109,0.866061939617106,0.9064468413967325,0.816381516906911,0.8590599798387096,0.935357174090432,0.9466866871202575,109080,122356,11258,24534,0.348203182220459
A1_target,43,checkpoints/relation_ablation/A1_target_seed43_best.pt,497,0.26378944516181946,0.692042887210846,0.8539606082571454,0.8908946024621489,0.8199670707977847,0.8605460505635637,0.8908640973630831,0.8217626895385214,0.8549193347452348,0.9315042223429394,0.9419826031320041,109799,120163,13451,23815,0.3419008255004883
A1_target,44,checkpoints/relation_ablation/A1_target_seed44_best.pt,496,0.26744261384010315,0.6802045106887817,0.8411438555345246,0.8869239769964233,0.7998578057177069,0.850176628197644,0.8867745162063635,0.8028649692397504,0.8427362177661685,0.9222190089997517,0.9364745946942361,107274,119917,13697,26340,0.34335994720458984
A2_enzyme,42,checkpoints/relation_ablation/A2_enzyme_seed42_best.pt,500,0.2652832567691803,0.7958269119262695,0.8584144907820602,0.9042751468261528,0.8169809908696303,0.866896433008517,0.9049873189752741,0.8198691753858128,0.860328043948622,0.930366193620868,0.9426426117833093,109546,122113,11501,24068,0.3508000373840332
A2_enzyme,43,checkpoints/relation_ablation/A2_enzyme_seed43_best.pt,496,0.26619353890419006,0.7657390236854553,0.8671176170504418,0.9038978330938289,0.8332135907798234,0.8737819390183663,0.9044680385820841,0.8358480398760609,0.8688052090504919,0.9352814136214529,0.9469437911892876,111681,121818,11796,21933,0.34589600563049316
A2_enzyme,44,checkpoints/relation_ablation/A2_enzyme_seed44_best.pt,499,0.2691269516944885,0.7792847156524658,0.8656701296069707,0.9030340970065528,0.831275258194881,0.8719932043049381,0.9030547288694989,0.8334605655096022,0.8668630877550783,0.9389397054404125,0.9486338247254403,111362,121659,11955,22252,0.34096527099609375
A3_transporter,42,checkpoints/relation_ablation/A3_transporter_seed42_best.pt,500,0.26154768466949463,0.7653093338012695,0.8868354153994916,0.9256853552126066,0.8511151025295615,0.8913886269402906,0.9256747956891219,0.8511159010283353,0.8868310029399609,0.9451989867684893,0.9571477274484832,113721,124483,9131,19893,0.33590173721313477
A3_transporter,43,checkpoints/relation_ablation/A3_transporter_seed43_best.pt,500,0.26159873604774475,0.7822661995887756,0.8839613594367647,0.9225211150710345,0.8484957341715312,0.8896410555780083,0.9237637865776729,0.8493795560345473,0.8850114438782075,0.9420514348371266,0.9548375128176372,113489,124248,9366,20125,0.34007906913757324
A3_transporter,44,checkpoints/relation_ablation/A3_transporter_seed44_best.pt,499,0.27005535364151,0.7856748104095459,0.8884550640606005,0.926763242610477,0.8531881454872026,0.8929603185294954,0.926488506213955,0.8536530603080515,0.8885807326155716,0.9476007236266604,0.958679744071658,114060,124564,9050,19554,0.33606600761413574
